"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Nov 23 20:01:04 GMT 2024","Sat Nov 23 20:01:49 GMT 2024","45014","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeInRootProject","userCreatesBuildTypeInRootProject()","User should not be able to create build type in Root project"
"broken","Sat Nov 23 20:01:50 GMT 2024","Sat Nov 23 20:02:25 GMT 2024","35713","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","userCreatesBuildType()","User should be able to create build type for existing project"
"broken","Sat Nov 23 20:02:25 GMT 2024","Sat Nov 23 20:03:00 GMT 2024","34341","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","userCreatesProject()","User should be able to create project"
"broken","Sat Nov 23 20:03:00 GMT 2024","Sat Nov 23 20:06:02 GMT 2024","182334","","com.example.teamcity.ui.SetupServerTest","","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest()",""
"passed","Sat Nov 23 20:03:00 GMT 2024","Sat Nov 23 20:03:00 GMT 2024","2","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","userCreatesProjectWithoutName()","User should not be able to create project without name"
