"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Dec 05 09:09:53 GMT 2024","Thu Dec 05 09:10:41 GMT 2024","48450","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeInRootProject","userCreatesBuildTypeInRootProject()","User should not be able to create build type in Root project"
"broken","Thu Dec 05 09:11:52 GMT 2024","Thu Dec 05 09:15:54 GMT 2024","242174","","com.example.teamcity.ui.SetupServerTest","","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest()",""
"passed","Thu Dec 05 09:11:52 GMT 2024","Thu Dec 05 09:11:52 GMT 2024","3","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","userCreatesProjectWithoutName()","User should not be able to create project without name"
"broken","Thu Dec 05 09:11:17 GMT 2024","Thu Dec 05 09:11:52 GMT 2024","34500","","com.example.teamcity.ui.CreateProjectTest","","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","userCreatesProject()","User should be able to create project"
"broken","Thu Dec 05 09:10:42 GMT 2024","Thu Dec 05 09:11:17 GMT 2024","35370","","com.example.teamcity.ui.CreateBuildTypeTest","","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","userCreatesBuildType()","User should be able to create build type for existing project"
